date,forecast
2025-01-01,589.89
2025-02-01,592.77
2025-03-01,596.77
2025-04-01,602.23
2025-05-01,607.7
2025-06-01,611.88
2025-07-01,615.65
2025-08-01,620.16
2025-09-01,625.83
2025-10-01,631.16
2025-11-01,635.5
2025-12-01,639.36
2026-01-01,644.25
2026-02-01,649.85
2026-03-01,655.22
2026-04-01,659.66
2026-05-01,664.24
2026-06-01,669.36
2026-07-01,675.28
2026-08-01,680.86
2026-09-01,685.68
2026-10-01,690.44
2026-11-01,696.16
2026-12-01,701.89
2027-01-01,707.54
2027-02-01,712.42
2027-03-01,717.86
2027-04-01,723.74
2027-05-01,729.86
2027-06-01,735.45
2027-07-01,740.8
2027-08-01,746.38
2027-09-01,752.21
2027-10-01,758.36
2027-11-01,764.2
2027-12-01,770.0
2028-01-01,775.79
2028-02-01,782.08
2028-03-01,788.0
2028-04-01,794.12
2028-05-01,799.95
2028-06-01,805.79
2028-07-01,812.05
2028-08-01,818.89
2028-09-01,824.87
2028-10-01,830.79
2028-11-01,836.99
2028-12-01,843.63
2029-01-01,850.13
2029-02-01,856.64
2029-03-01,863.19
2029-04-01,869.6
2029-05-01,876.55
2029-06-01,883.21
2029-07-01,889.8
2029-08-01,896.47
2029-09-01,903.68
2029-10-01,910.81
2029-11-01,918.02
2029-12-01,924.7
2030-01-01,931.41
2030-02-01,938.41
2030-03-01,945.43
2030-04-01,952.68
2030-05-01,959.72
2030-06-01,966.73
2030-07-01,974.38
2030-08-01,981.79
2030-09-01,989.28
2030-10-01,996.84
2030-11-01,1004.68
2030-12-01,1012.55
2031-01-01,1020.15
2031-02-01,1027.45
2031-03-01,1035.62
2031-04-01,1043.61
2031-05-01,1051.35
2031-06-01,1059.01
2031-07-01,1067.17
2031-08-01,1075.49
2031-09-01,1083.67
2031-10-01,1091.77
2031-11-01,1100.13
2031-12-01,1108.63
2032-01-01,1117.34
2032-02-01,1125.67
2032-03-01,1134.2
2032-04-01,1143.51
2032-05-01,1152.32
2032-06-01,1161.46
2032-07-01,1170.34
2032-08-01,1179.33
2032-09-01,1188.62
2032-10-01,1197.79
2032-11-01,1207.16
2032-12-01,1216.05
2033-01-01,1225.49
2033-02-01,1235.28
2033-03-01,1245.3
2033-04-01,1254.53
2033-05-01,1264.0
2033-06-01,1273.5
2033-07-01,1283.67
2033-08-01,1293.43
2033-09-01,1303.1
2033-10-01,1313.19
2033-11-01,1323.31
2033-12-01,1333.24
2034-01-01,1343.12
2034-02-01,1352.83
2034-03-01,1363.15
2034-04-01,1374.23
2034-05-01,1384.66
2034-06-01,1394.71
2034-07-01,1405.39
2034-08-01,1416.41
2034-09-01,1428.12
2034-10-01,1439.22
2034-11-01,1450.28
2034-12-01,1461.06
2035-01-01,1472.2
2035-02-01,1483.51
2035-03-01,1494.9
2035-04-01,1506.46
2035-05-01,1518.41
2035-06-01,1529.94
2035-07-01,1541.32
2035-08-01,1553.11
2035-09-01,1565.19
2035-10-01,1576.75
2035-11-01,1589.01
2035-12-01,1601.89
2036-01-01,1614.26
2036-02-01,1626.74
2036-03-01,1638.67
2036-04-01,1651.66
2036-05-01,1664.53
2036-06-01,1676.72
2036-07-01,1690.17
2036-08-01,1702.82
2036-09-01,1716.1
2036-10-01,1729.25
2036-11-01,1741.69
2036-12-01,1755.11
2037-01-01,1768.61
2037-02-01,1782.66
2037-03-01,1796.4
2037-04-01,1809.59
2037-05-01,1823.47
2037-06-01,1837.75
2037-07-01,1852.03
2037-08-01,1865.5
2037-09-01,1879.79
2037-10-01,1894.87
2037-11-01,1909.41
2037-12-01,1924.08
2038-01-01,1938.69
2038-02-01,1953.09
2038-03-01,1968.99
2038-04-01,1983.75
2038-05-01,1999.0
2038-06-01,2014.45
2038-07-01,2029.97
2038-08-01,2046.03
2038-09-01,2061.57
2038-10-01,2077.66
2038-11-01,2093.55
2038-12-01,2110.14
2039-01-01,2125.64
2039-02-01,2141.69
2039-03-01,2157.59
2039-04-01,2173.8
2039-05-01,2190.62
2039-06-01,2208.08
2039-07-01,2225.5
2039-08-01,2242.75
2039-09-01,2260.42
2039-10-01,2278.01
2039-11-01,2294.64
2039-12-01,2311.4
2040-01-01,2330.03
2040-02-01,2347.0
2040-03-01,2364.55
2040-04-01,2382.04
2040-05-01,2400.41
2040-06-01,2419.3
2040-07-01,2437.69
2040-08-01,2457.27
2040-09-01,2476.19
2040-10-01,2495.02
2040-11-01,2514.24
2040-12-01,2533.88
2041-01-01,2553.98
2041-02-01,2573.46
2041-03-01,2592.82
2041-04-01,2612.68
2041-05-01,2632.09
2041-06-01,2652.74
2041-07-01,2673.0
2041-08-01,2692.96
2041-09-01,2713.38
2041-10-01,2734.12
2041-11-01,2754.53
2041-12-01,2775.23
2042-01-01,2795.72
2042-02-01,2817.19
2042-03-01,2839.39
2042-04-01,2860.08
2042-05-01,2882.85
2042-06-01,2906.09
2042-07-01,2928.01
2042-08-01,2950.44
2042-09-01,2972.98
2042-10-01,2996.11
2042-11-01,3018.9
2042-12-01,3042.64
2043-01-01,3065.27
2043-02-01,3088.97
2043-03-01,3112.48
2043-04-01,3135.8
2043-05-01,3161.45
2043-06-01,3186.48
2043-07-01,3210.42
2043-08-01,3233.52
2043-09-01,3258.03
2043-10-01,3284.07
2043-11-01,3308.32
2043-12-01,3332.05
2044-01-01,3357.97
2044-02-01,3384.08
2044-03-01,3409.39
2044-04-01,3434.39
2044-05-01,3460.91
2044-06-01,3487.14
2044-07-01,3516.17
2044-08-01,3542.59
2044-09-01,3569.03
2044-10-01,3596.56
2044-11-01,3624.85
2044-12-01,3653.68
